feature,p_HC_DP,p_HC_DP
std MFCCon_10,7.70E-05,-0.701498
std MFCCon_11,0.001871,-0.561394
std MFCCon_12,0.003503,-0.504644
std DMFCCon_1,0.002167,-0.60251
std DMFCCon_2,0.000441,-0.668522
std DMFCCon_3,0.000134,-0.73056
std DMFCCon_4,0.001948,-0.54618
std DMFCCon_5,0.009139,-0.468276
std DMFCCon_6,0.001726,-0.5337
std DMFCCon_7,0.002225,-0.519209
std DMFCCon_8,2.90E-05,-0.762707
std DMFCCon_9,0.003975,-0.470934
std DMFCCon_10,6.40E-05,-0.678044
std DMFCCon_11,0.004285,-0.50452
std DMFCCon_12,0.002284,-0.525135
std DDMFCCon_1,0.002225,-0.597067
std DDMFCCon_2,0.000347,-0.66972
std DDMFCCon_3,0.00017,-0.724168
std DDMFCCon_4,0.003372,-0.523273
std DDMFCCon_5,0.010136,-0.459389
std DDMFCCon_6,0.001507,-0.539192
std DDMFCCon_7,0.003203,-0.501312
std DDMFCCon_8,2.60E-05,-0.775691
std DDMFCCon_9,0.005158,-0.458635
std DDMFCCon_10,6.70E-05,-0.664219
std DDMFCCon_11,0.005757,-0.488012
std DDMFCCon_12,0.002001,-0.534389
std BBEoff_1,0.101801,-0.330415
std BBEoff_2,0.368489,-0.257646
std BBEoff_3,0.855395,-0.084554
std BBEoff_4,0.206307,0.090676
std BBEoff_5,0.325852,0.080804
std BBEoff_6,0.165564,0.200853
std BBEoff_7,0.301133,0.214852
std BBEoff_8,0.191089,0.273494
std BBEoff_9,0.892851,0.033259
std BBEoff_10,0.874088,0.027098
std BBEoff_11,0.833691,-0.056169
std BBEoff_12,0.864732,-0.097409
std BBEoff_13,0.64868,0.061502
std BBEoff_14,0.686143,0.079063
std BBEoff_15,0.772425,0.037047
std BBEoff_16,0.262218,0.206089
std BBEoff_17,0.892851,0.015279
std BBEoff_18,0.263908,0.143779
std BBEoff_19,0.041718,0.28348
std BBEoff_20,0.020044,0.291499
std BBEoff_21,0.044581,0.272883
std BBEoff_22,0.001703,0.574566
std MFCCoff_1,0.012287,-0.499942
std MFCCoff_2,7.00E-05,-0.721828
std MFCCoff_3,0.00168,-0.625351
std MFCCoff_4,0.026517,-0.417587
std MFCCoff_5,0.106872,-0.292662
std MFCCoff_6,0.029336,-0.406296
std MFCCoff_7,0.001797,-0.582969
std MFCCoff_8,0.000122,-0.718915
std MFCCoff_9,0.002196,-0.474209
std MFCCoff_10,0.00049,-0.640084
std MFCCoff_11,0.001591,-0.563497
std MFCCoff_12,0.001591,-0.585942
std DMFCCoff_1,0.007853,-0.52808
std DMFCCoff_2,0.000162,-0.714126
std DMFCCoff_3,0.001657,-0.619577
std DMFCCoff_4,0.022728,-0.419159
std DMFCCoff_5,0.091471,-0.314201
std DMFCCoff_6,0.014995,-0.437087
std DMFCCoff_7,0.001528,-0.550281
std DMFCCoff_8,6.60E-05,-0.755509
std DMFCCoff_9,0.001446,-0.49894
std DMFCCoff_10,0.000657,-0.632054
std DMFCCoff_11,0.002377,-0.559363
std DMFCCoff_12,0.001209,-0.591329
std DDMFCCoff_1,0.007061,-0.540866
std DDMFCCoff_2,0.000212,-0.708132
std DDMFCCoff_3,0.001549,-0.623309
std DDMFCCoff_4,0.021574,-0.420682
std DDMFCCoff_5,0.084113,-0.322365
std DDMFCCoff_6,0.010136,-0.446803
std DDMFCCoff_7,0.00175,-0.536656
std DDMFCCoff_8,7.00E-05,-0.759426
std DDMFCCoff_9,0.001388,-0.503724
std DDMFCCoff_10,0.000815,-0.620693
std DDMFCCoff_11,0.002538,-0.552921
std DDMFCCoff_12,0.001128,-0.589127
std F1,0.008624,0.361025
std DF1,0.000497,0.522052
std DDF1,0.00024,0.565278
std F2,0.849182,0.098092
std DF2,0.614868,0.112121
std DDF2,0.614868,0.10834
skewness BBEon_1,0.021574,0.461152
skewness BBEon_2,0.016717,-0.485206
skewness BBEon_3,0.005619,-0.494785
skewness BBEon_4,0.042926,-0.353024
skewness BBEon_5,0.050338,-0.399461
skewness BBEon_6,0.022029,-0.473401
skewness BBEon_7,0.022493,-0.484111
skewness BBEon_8,0.050338,-0.399961
skewness BBEon_9,0.049874,-0.367244
skewness BBEon_10,0.07658,-0.356099
skewness BBEon_11,0.288355,-0.260047
skewness BBEon_12,0.407672,-0.156171
skewness BBEon_13,0.024433,-0.346109
skewness BBEon_14,0.061494,-0.265816
skewness BBEon_15,0.051751,-0.267817
